,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
465,2015,Mazda,3,2.0,Racing Series Limited Edition,Sedan,AT,14.0,18.0,white,187500,2023-10-25,mazda-3-racing-series-limited-edition-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12450839,419000
466,2019,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,gray,100000,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-ติวานนท์-ปทุมธานี/12750573?auc=true,659000
467,2015,Mazda,BT-50 PRO,2.2,DOUBLE CAB ECLIPSE,Pickup,MT,,,white,102500,2023-10-25,mazda-bt-50-pro-eclipse-ภาคอีสาน-อำเภอวารินชำราบ/12844664?auc=true,399000
468,2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,black,207500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12055057,359000
469,2019,Mazda,CX-5,2.2,XD,SUV,AT,17.0,23.0,gray,157500,2023-10-25,mazda-cx-5-xd-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12295225?auc=true,737000
470,2019,Mazda,CX-5,2.0,SP,SUV,AT,17.0,23.0,gray,137500,2023-10-25,mazda-cx-5-sp-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12482775?auc=true,707000
471,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,177500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12059171?auc=true,767000
472,2013,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,black,2500,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12509646?auc=true,299000
473,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,177500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12822124?auc=true,767000
474,2017,Mazda,2,1.3,Sports Standard,Hatchback,AT,15.0,25.0,red,67500,2023-10-25,mazda-2-sports-standard-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12696578,349000
475,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,34515,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12603323?auc=true,429000
476,2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB V,Pickup,MT,,,silver,107500,2023-10-25,mazda-bt-50-pro-v-ภาคตะวันออก-อำเภอเมืองชลบุรี/12825902,239000
477,2018,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,black,2500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12144081?auc=true,509000
478,2010,Mazda,2,1.5,Maxx Sports,Sedan,AT,9.0,14.0,white,162500,2023-10-25,mazda-2-maxx-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12836500,145000
479,2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,112500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12413195,469000
480,2008,Mazda,3,2.0,Maxx Sport,Hatchback,AT,5.0,10.0,black,202500,2023-10-25,mazda-3-maxx-sports-ภาคตะวันออก-อำเภอเมืองสระแก้ว/12345331,170000
481,2020,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,silver,19051,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12694452,369000
482,2012,Mazda,2,1.5,Groove,Sedan,AT,9.0,14.0,brown,82500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12583647?auc=true,174000
483,2019,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,red,47500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/11531592?auc=true,619000
484,2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,87500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12249820?auc=true,204000
485,2019,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,2500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12179229?auc=true,799000
486,2013,Mazda,2,1.5,Sports Groove,Hatchback,AT,9.0,14.0,sky,87500,2023-10-25,mazda-2-sports-groove-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12614051,199000
487,2019,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,blue,197500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12121702?auc=true,459000
488,2020,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,white,117500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12639055?auc=true,449000
489,2015,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,gray,52500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12728108,369000
490,2013,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,sky,167500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12021423?auc=true,274000
491,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,82500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12595969?auc=true,419000
492,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12718955,418900
493,2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12340783,371900
494,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,blue,37500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12719014,421900
495,2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,gray,142500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12288801,371900
496,2019,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,102500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12558508,575900
497,2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,17500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12655835,826900
498,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,brown,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12834441,418900
499,2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,white,147500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12452212,366900
500,2018,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,red,127500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12615196,430900
501,2017,Mazda,2,1.5,XD Sports High Connect,Hatchback,AT,15.0,25.0,white,97500,2023-10-25,mazda-2-xd-sports-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/11496347?auc=true,349000
502,2019,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,102500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12602868,575900
503,2021,Mazda,2,1.3,C Sports,Hatchback,AT,15.0,25.0,black,12500,2023-10-25,mazda-2-c-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12524133,466900
504,2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,black,147500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12324598,391900
505,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,57500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12422076,338900
506,2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,137500,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12551712,388900
507,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12406810,395900
