car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,33639,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12495098?auc=true,454000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,62684,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/11537940?auc=true,389000
2022,Mazda,2,1.3,C,Sedan,AT,15.0,25.0,silver,22500,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-มีนบุรี/12710835?auc=true,434000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,silver,93175,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12762126?auc=true,389000
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,55742,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12495085?auc=true,454000
2022,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,white,15913,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-มีนบุรี/11935622?auc=true,479000
2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,brown,112712,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-มีนบุรี/12803136?auc=true,399000
2019,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,red,46060,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-มีนบุรี/12597537?auc=true,419000
2020,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,red,62500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12710848?auc=true,444000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,32500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ลำลูกกา/12835491,369000
2016,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12839822,430000
2010,Mazda,2,1.5,Maxx Sports,Hatchback,AT,9.0,14.0,green,97500,2023-10-25,mazda-2-maxx-sports-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12531817?auc=true,179000
2020,Mazda,MX-5,2.0,30th Anniversary,Convertible,MT,16.0,20.0,orange,7500,2023-10-25,mazda-mx-5-30th-anniversary-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12642830,2990000
2016,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,25.0,brown,162500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-อำเภอสามโคก/12510851,299999
2017,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,red,52500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-ลำลูกกา/12469647,480000
2013,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,blue,127500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12809838,249000
2018,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,silver,62500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12677022,530000
2020,Mazda,CX-3,2.0,Comfort,SUV,AT,15.0,22.0,black,47500,2023-10-25,mazda-cx-3-comfort-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12593412,520000
2015,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,black,122500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11764808?auc=true,339000
2020,Mazda,2,1.3,S,Sedan,AT,15.0,25.0,gray,83377,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12759578?carsome=true,447900
2016,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,white,57500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12381855,325000
2010,Mazda,2,1.5,Groove,Sedan,MT,9.0,14.0,gray,117500,2023-10-25,mazda-2-groove-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12735925,160000
2014,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,sky,102206,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12090945?carsome=true,356900
