id,name,cost,mile,status,color,gear,web,webid,date
563,2014 Mazda 3 2.0 (ปี 14-18) SP Sports Hatchback,"356,900",165 - 170K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-sp-sports-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12318370
",2023-10-25
564,2019 Mazda CX-5 2.2 (ปี 17-23) XD SUV,"917,900",85775 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-xd-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12283384
",2023-10-25
565,2019 Mazda CX-5 2.2 (ปี 17-23) XD SUV,"917,900",85 - 90K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-xd-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12324350
",2023-10-25
566,2016 Mazda 3 2.0 (ปี 14-18) E Sedan,"440,000",105 - 110K km,รถมือสอง,สีเงิน,เกียร์อัตโนมัติ,one2car,"mazda-3-e-กรุงเทพและปริมณฑล-อำเภอลำลูกกา/12842177
",2023-10-25
567,2018 Mazda CX-5 2.2 (ปี 17-23) XDL 4WD SUV,"759,000",90 - 95K km,รถมือสอง,สีเงิน,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11374129
",2023-10-25
568,2020 Mazda CX-8 2.5 (ปี 19-25) SP SUV,"1,055,000",80 - 85K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-8-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11383193
",2023-10-25
569,2018 Mazda CX-5 2.0 (ปี 17-23) C SUV,"699,000",0 - 5K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12841153
",2023-10-25
570,2019 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"395,900",90375 km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12346664
",2023-10-25
571,2021 Mazda CX-8 2.2 (ปี 19-25) XDL Exclusive 4WD SUV,"1,249,000",80 - 85K km,รถมือสอง,สีดำ,เกียร์อัตโนมัติ,one2car,"mazda-cx-8-xdl-exclusive-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12229697
",2023-10-25
572,2018 Mazda 3 2.0 (ปี 14-18) C Sedan,"379,000",25 - 30K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-3-c-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12794234?auc=true
",2023-10-25
